,Position,Track Name,Artist,Streams,major label
122,122,Looking Out for You,Joy Again,1772659,Sony Music Entertainment
123,123,Man in the Mirror,A Boogie Wit da Hoodie,1772422,Warner Music Group
124,124,No Love (with SZA),Summer Walker,1762777,Universal Music Group
125,125,WHERE WE ARE,The Lumineers,1752075,Universal Music Group
126,126,Starry Eyes,The Weeknd,1748795,Universal Music Group
127,127,Save Your Tears,The Weeknd,1744963,Universal Music Group
128,128,Burn,Juice WRLD,1738741,Universal Music Group
129,129,Circles,Post Malone,1736959,Universal Music Group
130,130,Leave The Door Open,Bruno Mars,1735129,Warner Music Group
131,131,Star Shopping,Lil Peep,1734431,Small Label/Independent
132,132,we fell in love in october,girl in red,1726580,Sony Music Entertainment
133,133,XO Tour Llif3,Lil Uzi Vert,1723029,Warner Music Group
134,134,Jocelyn Flores,XXXTENTACION,1719945,Small Label/Independent
135,135,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1717288,Sony Music Entertainment
136,136,I Heard You’re Married (feat. Lil Wayne),The Weeknd,1713552,Universal Music Group
137,137,Dandelions,Ruth B.,1711254,Sony Music Entertainment
138,138,For Tonight,Giveon,1706576,Sony Music Entertainment
139,139,telepatía,Kali Uchis,1704422,Universal Music Group
140,140,Redbone,Childish Gambino,1702231,Small Label/Independent
141,141,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1698044,Universal Music Group
142,142,Heather,Conan Gray,1694608,Universal Music Group
143,143,Come & Go (with Marshmello),Juice WRLD,1685094,Universal Music Group
144,144,Heartbreak Anniversary,Giveon,1674999,Sony Music Entertainment
145,145,Life Goes On,Oliver Tree,1670085,Warner Music Group
146,146,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1666103,Sony Music Entertainment
147,147,Robbery,Juice WRLD,1662163,Universal Music Group
148,148,mop (feat. Young Thug),Gunna,1657798,Warner Music Group
149,149,Washing Machine Heart,Mitski,1654266,Small Label/Independent
150,150,favorite crime,Olivia Rodrigo,1653607,Universal Music Group
151,151,It'll Be Okay,Shawn Mendes,1650318,Universal Music Group
152,152,Flower Shops (feat. Morgan Wallen),ERNEST,1646286,Small Label/Independent
153,153,Whiskey Glasses,Morgan Wallen,1644455,Small Label/Independent
154,154,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,1641164,Warner Music Group
155,155,Today (feat. Gunna),Cordae,1640057,Warner Music Group
156,156,Electric Love,BØRNS,1639360,Universal Music Group
157,157,my ex's best friend (with blackbear),Machine Gun Kelly,1638899,Universal Music Group
158,158,The Hills,The Weeknd,1638299,Universal Music Group
159,159,Wasted On You,Morgan Wallen,1637649,Universal Music Group
160,160,Wishing Well,Juice WRLD,1637387,Universal Music Group
161,161,DÁKITI,Bad Bunny,1629657,Small Label/Independent
162,162,Dreams - 2004 Remaster,Fleetwood Mac,1627043,Warner Music Group
163,163,Heartless,Kanye West,1625839,Universal Music Group
164,164,goosebumps,Travis Scott,1612554,Sony Music Entertainment
165,165,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1610144,Small Label/Independent
166,166,"Colombia, Mi Encanto",Carlos Vives,1609000,Walt Disney Records
167,167,She Knows (feat. Amber Coffman & Cults),J. Cole,1608258,Roc Nation
168,168,LOVE. FEAT. ZACARI.,Kendrick Lamar,1607194,Universal Music Group
169,169,Yes Indeed,Lil Baby,1602808,Universal Music Group
170,170,too easy,Gunna,1590841,Warner Music Group
171,171,Mood (feat. iann dior),24kGoldn,1587802,Sony Music Entertainment
172,172,Moth To A Flame (with The Weeknd),Swedish House Mafia,1586342,Universal Music Group
173,173,Not Allowed,TV Girl,1585288,Small Label/Independent
174,174,Love Sosa,Chief Keef,1573919,Universal Music Group
175,175,BRIGHTSIDE,The Lumineers,1559593,Universal Music Group
176,176,poochie gown,Gunna,1557274,Warner Music Group
177,177,Sand In My Boots,Morgan Wallen,1554952,Universal Music Group
178,178,1 Scale (feat. G Herbo),Young Dolph,1549507,Small Label/Independent
179,179,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1547326,Small Label/Independent
180,180,Fuck Love (feat. Trippie Redd),XXXTENTACION,1542768,Small Label/Independent
