,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
134,"Jocelyn Flores",XXXTENTACION,1719945,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
135,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,1717288,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
136,"I Heard You’re Married (feat. Lil Wayne)","The Weeknd",1713552,https://open.spotify.com/track/5XbA7TAqsD0fj0dGBrbb0D
137,Dandelions,"Ruth B.",1711254,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
138,"For Tonight",Giveon,1706576,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
139,telepatía,"Kali Uchis",1704422,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
140,Redbone,"Childish Gambino",1702231,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
141,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,1698044,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
142,Heather,"Conan Gray",1694608,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
143,"Come & Go (with Marshmello)","Juice WRLD",1685094,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
144,"Heartbreak Anniversary",Giveon,1674999,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
145,"Life Goes On","Oliver Tree",1670085,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
146,"Me or Sum (feat. Future & Lil Baby)","Nardo Wick",1666103,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
147,Robbery,"Juice WRLD",1662163,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
148,"mop (feat. Young Thug)",Gunna,1657798,https://open.spotify.com/track/2ZGEjmwyeZ3rpEezkZwqOP
149,"Washing Machine Heart",Mitski,1654266,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
150,"favorite crime","Olivia Rodrigo",1653607,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
151,"It'll Be Okay","Shawn Mendes",1650318,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
152,"Flower Shops (feat. Morgan Wallen)",ERNEST,1646286,https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ
153,"Whiskey Glasses","Morgan Wallen",1644455,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
